data_hora,demanda,previsao_baseline,previsao_arima,residuo_arima
2012-09-17,6869,7333,7486.108513275222,-617.1085132752223
2012-09-18,4073,7333,7524.392857950349,-3451.392857950349
2012-09-19,7591,7333,7533.965748548335,57.034251451665114
2012-10-01,6778,7333,7536.359422390179,-758.3594223901791
2012-10-02,4639,7333,7536.957953669993,-2897.957953669993
2012-10-03,7572,7333,7537.107614700102,34.892385299897796
2012-10-04,7328,7333,7537.145037011498,-209.14503701149806
2012-10-05,8156,7333,7537.154394353147,618.8456056468531
2012-10-06,7965,7333,7537.156734129592,427.8432658704078
2012-10-07,3510,7333,7537.1573191839825,-4027.1573191839825
2012-10-08,5478,7333,7537.157465475155,-2059.157465475155
2012-10-09,6392,7333,7537.157502054843,-1145.1575020548426
2012-10-10,7691,7333,7537.157511201489,153.8424887985111
2012-10-11,7570,7333,7537.157513488582,32.84248651141843
2012-10-12,7282,7333,7537.157514060463,-255.15751406046274
2012-10-13,7109,7333,7537.15751420346,-428.15751420345987
2012-10-14,6639,7333,7537.157514239216,-898.1575142392157
2012-10-15,5875,7333,7537.157514248156,-1662.157514248156
2012-10-16,7534,7333,7537.157514250392,-3.157514250391614
2012-10-17,7461,7333,7537.157514250951,-76.15751425095095
2012-10-18,7509,7333,7537.157514251091,-28.157514251091015
2012-10-19,5424,7333,7537.157514251126,-2113.1575142511256
2012-11-01,5986,7333,7537.157514251135,-1551.1575142511347
2012-11-02,5847,7333,7537.1575142511365,-1690.1575142511365
2012-11-03,5138,7333,7537.157514251137,-2399.1575142511374
2012-11-04,5107,7333,7537.157514251137,-2430.1575142511374
2012-11-05,5259,7333,7537.157514251137,-2278.1575142511374
2012-11-06,5686,7333,7537.157514251137,-1851.1575142511374
2012-11-07,5035,7333,7537.157514251137,-2502.1575142511374
2012-11-08,5315,7333,7537.157514251137,-2222.1575142511374
2012-11-09,5992,7333,7537.157514251137,-1545.1575142511374
2012-11-10,6536,7333,7537.157514251137,-1001.1575142511374
2012-11-11,6852,7333,7537.157514251137,-685.1575142511374
2012-11-12,6269,7333,7537.157514251137,-1268.1575142511374
2012-11-13,4094,7333,7537.157514251137,-3443.1575142511374
2012-11-14,5495,7333,7537.157514251137,-2042.1575142511374
2012-11-15,5445,7333,7537.157514251137,-2092.1575142511374
2012-11-16,5698,7333,7537.157514251137,-1839.1575142511374
2012-11-17,5629,7333,7537.157514251137,-1908.1575142511374
2012-11-18,4669,7333,7537.157514251137,-2868.1575142511374
2012-11-19,5499,7333,7537.157514251137,-2038.1575142511374
2012-12-01,5191,7333,7537.157514251137,-2346.1575142511374
2012-12-02,4649,7333,7537.157514251137,-2888.1575142511374
2012-12-03,6234,7333,7537.157514251137,-1303.1575142511374
2012-12-04,6606,7333,7537.157514251137,-931.1575142511374
2012-12-05,5729,7333,7537.157514251137,-1808.1575142511374
2012-12-06,5375,7333,7537.157514251137,-2162.1575142511374
2012-12-07,5008,7333,7537.157514251137,-2529.1575142511374
2012-12-08,5582,7333,7537.157514251137,-1955.1575142511374
2012-12-09,3228,7333,7537.157514251137,-4309.157514251137
2012-12-10,5170,7333,7537.157514251137,-2367.1575142511374
2012-12-11,5501,7333,7537.157514251137,-2036.1575142511374
2012-12-12,5319,7333,7537.157514251137,-2218.1575142511374
2012-12-13,5532,7333,7537.157514251137,-2005.1575142511374
2012-12-14,5611,7333,7537.157514251137,-1926.1575142511374
2012-12-15,5047,7333,7537.157514251137,-2490.1575142511374
2012-12-16,3786,7333,7537.157514251137,-3751.1575142511374
2012-12-17,4585,7333,7537.157514251137,-2952.1575142511374
2012-12-18,5557,7333,7537.157514251137,-1980.1575142511374
2012-12-19,5267,7333,7537.157514251137,-2270.1575142511374
