data_hora,demanda,previsao_sarimax
2012-09-17,6869,6900.850095828741
2012-09-18,4073,6227.377995116953
2012-09-19,7591,7208.9638560176845
2012-10-01,6778,7145.538681416956
2012-10-02,4639,6900.933921663682
2012-10-03,7572,7336.5075421818765
2012-10-04,7328,7437.537162943297
2012-10-05,8156,7658.769269961762
2012-10-06,7965,6964.778004146168
2012-10-07,3510,6379.3644124039365
2012-10-08,5478,6243.48771001398
2012-10-09,6392,6431.820795590351
2012-10-10,7691,6903.872790440214
2012-10-11,7570,7144.9723876128855
2012-10-12,7282,6871.667407906113
2012-10-13,7109,7195.117151659467
2012-10-14,6639,6515.000792267047
2012-10-15,5875,6506.230529781948
2012-10-16,7534,7070.317371632486
2012-10-17,7461,6792.666836740574
2012-10-18,7509,6602.354747632112
2012-10-19,5424,6899.350106058711
2012-11-01,5986,6660.0476205879095
2012-11-02,5847,6520.997527933201
2012-11-03,5138,6621.597979425665
2012-11-04,5107,6388.3453520351
2012-11-05,5259,6356.106463654556
2012-11-06,5686,6385.241190495581
2012-11-07,5035,5946.2555223767795
2012-11-08,5315,6665.253078296625
2012-11-09,5992,6645.647263796283
2012-11-10,6536,7060.017231583358
2012-11-11,6852,6564.896727008681
2012-11-12,6269,6571.9565410271625
2012-11-13,4094,5833.068651286081
2012-11-14,5495,6241.126982492704
2012-11-15,5445,6406.224608091904
2012-11-16,5698,6767.347093682408
2012-11-17,5629,6709.491718920295
2012-11-18,4669,5875.313810587823
2012-11-19,5499,6257.463449719845
2012-12-01,5191,6309.184846415406
2012-12-02,4649,5883.471128564714
2012-12-03,6234,6618.209002528937
2012-12-04,6606,6664.4042767726105
2012-12-05,5729,6590.971857440962
2012-12-06,5375,6387.08295049553
2012-12-07,5008,6171.966358679492
2012-12-08,5582,6207.461406836323
2012-12-09,3228,5696.91986635539
2012-12-10,5170,5813.604655656173
2012-12-11,5501,6188.794485410512
2012-12-12,5319,6427.400602214637
2012-12-13,5532,6593.456165469437
2012-12-14,5611,6353.868902516103
2012-12-15,5047,6667.986767520727
2012-12-16,3786,5966.121156359277
2012-12-17,4585,5990.833634879274
2012-12-18,5557,6461.827094944407
2012-12-19,5267,6275.884845432012
