data_hora,demanda,demanda_diff
2011-01-02,801,-184.0
2011-01-03,1349,548.0
2011-01-04,1562,213.0
2011-01-05,1600,38.0
2011-01-06,1606,6.0
2011-01-07,1510,-96.0
2011-01-08,959,-551.0
2011-01-09,822,-137.0
2011-01-10,1321,499.0
2011-01-11,1263,-58.0
2011-01-12,1162,-101.0
2011-01-13,1406,244.0
2011-01-14,1421,15.0
2011-01-15,1248,-173.0
2011-01-16,1204,-44.0
2011-01-17,1000,-204.0
2011-01-18,683,-317.0
2011-01-19,1650,967.0
2011-02-01,1360,-290.0
2011-02-02,1526,166.0
2011-02-03,1550,24.0
2011-02-04,1708,158.0
2011-02-05,1005,-703.0
2011-02-06,1623,618.0
2011-02-07,1712,89.0
2011-02-08,1530,-182.0
2011-02-09,1605,75.0
2011-02-10,1538,-67.0
2011-02-11,1746,208.0
2011-02-12,1472,-274.0
2011-02-13,1589,117.0
2011-02-14,1913,324.0
2011-02-15,1815,-98.0
2011-02-16,2115,300.0
2011-02-17,2475,360.0
2011-02-18,2927,452.0
2011-02-19,1635,-1292.0
2011-03-01,1851,216.0
2011-03-02,2134,283.0
2011-03-03,1685,-449.0
2011-03-04,1944,259.0
2011-03-05,2077,133.0
2011-03-06,605,-1472.0
2011-03-07,1872,1267.0
2011-03-08,2133,261.0
2011-03-09,1891,-242.0
2011-03-10,623,-1268.0
2011-03-11,1977,1354.0
2011-03-12,2132,155.0
2011-03-13,2417,285.0
2011-03-14,2046,-371.0
2011-03-15,2056,10.0
2011-03-16,2192,136.0
2011-03-17,2744,552.0
2011-03-18,3239,495.0
2011-03-19,3117,-122.0
2011-04-01,2227,-890.0
2011-04-02,2252,25.0
2011-04-03,3249,997.0
2011-04-04,3115,-134.0
2011-04-05,1795,-1320.0
2011-04-06,2808,1013.0
2011-04-07,3141,333.0
2011-04-08,1471,-1670.0
2011-04-09,2455,984.0
2011-04-10,2895,440.0
2011-04-11,3348,453.0
2011-04-12,2034,-1314.0
2011-04-13,2162,128.0
2011-04-14,3267,1105.0
2011-04-15,3126,-141.0
2011-04-16,795,-2331.0
2011-04-17,3744,2949.0
2011-04-18,3429,-315.0
2011-04-19,3204,-225.0
2011-05-01,3351,147.0
2011-05-02,4401,1050.0
2011-05-03,4451,50.0
2011-05-04,2633,-1818.0
2011-05-05,4433,1800.0
2011-05-06,4608,175.0
2011-05-07,4714,106.0
2011-05-08,4333,-381.0
2011-05-09,4362,29.0
2011-05-10,4803,441.0
2011-05-11,4182,-621.0
2011-05-12,4864,682.0
